"scenario","zuivel","rund","varken","kipei","agf","vetsnack","drank","graan","zoet","vis","vegi","total"
"basis_bgkax",0.6011,1.2184,0.4756,0.3317,0.1852,0.4558,0.6164,0.3035,0.2189,0.0359,0.0313,4.4738
"basis_bgkaz",0.6011,1.2184,0.4756,0.3403,0.2116,0.5209,0.7045,0.3469,0.2501,0.041,0.0357,4.7461
"basis_bgkqa",0.5464,1.1055,0.4286,0.2957,0.1603,0.3946,0.535,0.2628,0.1895,0.0311,0.0271,3.9766
"basis_bgkqx",0.5464,1.1055,0.4286,0.2984,0.1683,0.4144,0.5618,0.276,0.199,0.0326,0.0284,4.0594
"basis_bgkqz",0.5464,1.1055,0.4286,0.3062,0.1924,0.4735,0.642,0.3154,0.2274,0.0373,0.0325,4.3072
"basis_bgkra",0.5725,1.1592,0.451,0.3115,0.168,0.4134,0.5598,0.2753,0.1985,0.0325,0.0283,4.17
"basis_bgkrx",0.5725,1.1592,0.451,0.3142,0.1764,0.4341,0.5878,0.2891,0.2084,0.0342,0.0298,4.2567
"basis_bgkrz",0.5725,1.1592,0.451,0.3224,0.2015,0.4961,0.6718,0.3304,0.2382,0.0391,0.034,4.5162
"basis_bgksa",0.5227,1.0564,0.4082,0.2814,0.1533,0.3775,0.5124,0.2514,0.1813,0.0297,0.0259,3.8002
"basis_bgksx",0.5227,1.0564,0.4082,0.2839,0.161,0.3963,0.538,0.264,0.1903,0.0312,0.0272,3.8792
"basis_bgksz",0.5227,1.0564,0.4082,0.2914,0.184,0.453,0.6149,0.3017,0.2175,0.0357,0.0311,4.1166
"basis_bglaa",0.6011,1.2184,0.5663,0.3571,0.1764,0.4341,0.5871,0.2891,0.2084,0.0342,0.0298,4.502
"basis_bglax",0.6011,1.2184,0.5663,0.36,0.1852,0.4558,0.6164,0.3035,0.2189,0.0359,0.0313,4.5928
"basis_bglaz",0.6011,1.2184,0.5663,0.3686,0.2116,0.5209,0.7045,0.3469,0.2501,0.041,0.0357,4.8651
"basis_bglqa",0.5464,1.1055,0.5103,0.3211,0.1603,0.3946,0.535,0.2628,0.1895,0.0311,0.0271,4.0837
"basis_bglqx",0.5464,1.1055,0.5103,0.3238,0.1683,0.4144,0.5618,0.276,0.199,0.0326,0.0284,4.1665
"basis_bglqz",0.5464,1.1055,0.5103,0.3316,0.1924,0.4735,0.642,0.3154,0.2274,0.0373,0.0325,4.4143
"basis_bglra",0.5725,1.1592,0.537,0.3383,0.168,0.4134,0.5598,0.2753,0.1985,0.0325,0.0283,4.2828
"basis_bglrx",0.5725,1.1592,0.537,0.341,0.1764,0.4341,0.5878,0.2891,0.2084,0.0342,0.0298,4.3695
"basis_bglrz",0.5725,1.1592,0.537,0.3492,0.2015,0.4961,0.6718,0.3304,0.2382,0.0391,0.034,4.629
"basis_bglsa",0.5227,1.0564,0.486,0.3055,0.1533,0.3775,0.5124,0.2514,0.1813,0.0297,0.0259,3.9021
"basis_bglsx",0.5227,1.0564,0.486,0.308,0.161,0.3963,0.538,0.264,0.1903,0.0312,0.0272,3.9811
"basis_bglsz",0.5227,1.0564,0.486,0.3155,0.184,0.453,0.6149,0.3017,0.2175,0.0357,0.0311,4.2185
"basis_bgmaa",0.9926,2.1227,0.7548,0.4994,0.1764,0.4341,0.5871,0.2891,0.2084,0.0342,0.0298,6.1286
"basis_bgmax",0.9926,2.1227,0.7548,0.5022,0.1852,0.4558,0.6164,0.3035,0.2189,0.0359,0.0313,6.2193
"basis_bgmaz",0.9926,2.1227,0.7548,0.5109,0.2116,0.5209,0.7045,0.3469,0.2501,0.041,0.0357,6.4917
"basis_bgmqa",0.9023,1.9261,0.6802,0.4488,0.1603,0.3946,0.535,0.2628,0.1895,0.0311,0.0271,5.5578
"basis_bgmqx",0.9023,1.9261,0.6802,0.4514,0.1683,0.4144,0.5618,0.276,0.199,0.0326,0.0284,5.6405
"basis_bgmqz",0.9023,1.9261,0.6802,0.4592,0.1924,0.4735,0.642,0.3154,0.2274,0.0373,0.0325,5.8883
"basis_bgmra",0.9453,2.0197,0.7157,0.4729,0.168,0.4134,0.5598,0.2753,0.1985,0.0325,0.0283,5.8294
"basis_bgmrx",0.9453,2.0197,0.7157,0.4756,0.1764,0.4341,0.5878,0.2891,0.2084,0.0342,0.0298,5.9161
"basis_bgmrz",0.9453,2.0197,0.7157,0.4838,0.2015,0.4961,0.6718,0.3304,0.2382,0.0391,0.034,6.1756
"basis_bgmsa",0.8631,1.8406,0.6478,0.4268,0.1533,0.3775,0.5124,0.2514,0.1813,0.0297,0.0259,5.3098
"basis_bgmsx",0.8631,1.8406,0.6478,0.4293,0.161,0.3963,0.538,0.264,0.1903,0.0312,0.0272,5.3888
"basis_bgmsz",0.8631,1.8406,0.6478,0.4368,0.184,0.453,0.6149,0.3017,0.2175,0.0357,0.0311,5.6262
"basis_bgnaa",0.699,1.4445,0.5422,0.3564,0.1764,0.4341,0.5871,0.2891,0.2084,0.0342,0.0298,4.8012
"basis_bgnax",0.699,1.4445,0.5422,0.3593,0.1852,0.4558,0.6164,0.3035,0.2189,0.0359,0.0313,4.892
"basis_bgnaz",0.699,1.4445,0.5422,0.3679,0.2116,0.5209,0.7045,0.3469,0.2501,0.041,0.0357,5.1643
"basis_bgnqa",0.6354,1.3106,0.4886,0.3205,0.1603,0.3946,0.535,0.2628,0.1895,0.0311,0.0271,4.3555
"basis_bgnqx",0.6354,1.3106,0.4886,0.3231,0.1683,0.4144,0.5618,0.276,0.199,0.0326,0.0284,4.4382
"basis_bgnqz",0.6354,1.3106,0.4886,0.331,0.1924,0.4735,0.642,0.3154,0.2274,0.0373,0.0325,4.6861
"basis_bgnra",0.6657,1.3744,0.5141,0.3376,0.168,0.4134,0.5598,0.2753,0.1985,0.0325,0.0283,4.5676
"basis_bgnrx",0.6657,1.3744,0.5141,0.3404,0.1764,0.4341,0.5878,0.2891,0.2084,0.0342,0.0298,4.6544
"basis_bgnrz",0.6657,1.3744,0.5141,0.3486,0.2015,0.4961,0.6718,0.3304,0.2382,0.0391,0.034,4.9139
"basis_bgnsa",0.6078,1.2524,0.4653,0.3049,0.1533,0.3775,0.5124,0.2514,0.1813,0.0297,0.0259,4.1619
"basis_bgnsx",0.6078,1.2524,0.4653,0.3074,0.161,0.3963,0.538,0.264,0.1903,0.0312,0.0272,4.2409
"basis_bgnsz",0.6078,1.2524,0.4653,0.3149,0.184,0.453,0.6149,0.3017,0.2175,0.0357,0.0311,4.4783
"basis_bhaaa",0.6343,1.3793,0.5133,0.3313,0.1764,0.4341,0.5871,0.2891,0.2084,0.0342,0.0298,4.6173
"basis_bhaax",0.6343,1.3793,0.5133,0.3342,0.1852,0.4558,0.6164,0.3035,0.2189,0.0359,0.0313,4.7081
"basis_bhaaz",0.6343,1.3793,0.5133,0.3428,0.2116,0.5209,0.7045,0.3469,0.2501,0.041,0.0357,4.9804
"basis_bhaqa",0.5767,1.2517,0.4625,0.298,0.1603,0.3946,0.535,0.2628,0.1895,0.0311,0.0271,4.1893
"basis_bhaqx",0.5767,1.2517,0.4625,0.3006,0.1683,0.4144,0.5618,0.276,0.199,0.0326,0.0284,4.272
"basis_bhaqz",0.5767,1.2517,0.4625,0.3084,0.1924,0.4735,0.642,0.3154,0.2274,0.0373,0.0325,4.5198
"basis_bhara",0.6041,1.3125,0.4867,0.3139,0.168,0.4134,0.5598,0.2753,0.1985,0.0325,0.0283,4.393
"basis_bharx",0.6041,1.3125,0.4867,0.3166,0.1764,0.4341,0.5878,0.2891,0.2084,0.0342,0.0298,4.4797
"basis_bharz",0.6041,1.3125,0.4867,0.3248,0.2015,0.4961,0.6718,0.3304,0.2382,0.0391,0.034,4.7392
"basis_bhasa",0.5516,1.1961,0.4405,0.2835,0.1533,0.3775,0.5124,0.2514,0.1813,0.0297,0.0259,4.0032
"basis_bhasx",0.5516,1.1961,0.4405,0.286,0.161,0.3963,0.538,0.264,0.1903,0.0312,0.0272,4.0822
"basis_bhasz",0.5516,1.1961,0.4405,0.2935,0.184,0.453,0.6149,0.3017,0.2175,0.0357,0.0311,4.3196
"basis_bhkaa",0.6343,1.3793,0.5179,0.3531,0.1764,0.4341,0.5871,0.2891,0.2084,0.0342,0.0298,4.6437
"basis_bhkax",0.6343,1.3793,0.5179,0.356,0.1852,0.4558,0.6164,0.3035,0.2189,0.0359,0.0313,4.7345
